register,address,reg_access,field,field_access,reset_value,bitpos_end,bitpos_start,function
chnl_en,0x00,RW,slv_en,RW,0x0,3,0,channel enable
,,,reserved,RO,0x0,31,4,reserved
,,,,,,,,
,,,,,,,,
 err_clr,0x04,RW,parity_err_clr,RW,0x0,3,0,error clean
,,,reserved,RO,0x0,31,4,reserved
,,,,,,,,
,,,,,,,,
chnl_id,0x08,RW,slv0_id,RW,0x0,7,0,slave0 id
,,,slv1_id,RW,0x1,15,8,slave1 id
,,,slv2_id,RW,0x2,23,16,slave2 id
,,,slv3_id,RW,0x3,31,24,slave3 id 
,,,,,,,,
chnl_len,0x0C,RW,slv0_len,RW,0x0,7,0,slave0 lenth
,,,slv1_len,RW,0x0,15,8,slave1 lenth
,,,slv2_len,RW,0x0,23,16,slave2 lenth
,,,slv3_len,RW,0x0,31,24,slave3 lenth
,,,,,,,,
chnl0_avilable,0x80,RO,slv0_free_slot,RO,0x20,5,0,fifo0 available storage
,,,reserved,RO,0x0,31,6,reserved
,,,,,,,,
chnl1_avilable,0x84,RO,slv1_free_slot,RO,0x20,5,0,fifo1 available storage
,,,reserved,RO,0x0,31,6,reserved
,,,,,,,,
chnl2_avilable,0x88,RO,slv2_free_slot,RO,0x20,5,0,fifo2 available storage
,,,reserved,RO,0x0,31,6,reserved
,,,,,,,,
chnl3_avilable,0x8C,RO,slv3_free_slot,RO,0x20,5,0,fifo3 available storage
,,,reserved,RO,0x0,31,6,reserved
,,,,,,,,
chnl0_parity_err,0x90,RO,slv0_parity_err,RO,0x0,0,0,slave0 parity error
,,,reserved,RO,0x0,31,1,reserved
chnl1_parity_err,0x94,RO,slv0_parity_err,RO,0x0,0,0,slave1 parity error
,,,reserved,RO,0x0,31,1,reserved
chnl2_parity_err,0x98,RO,slv2_parity_err,RO,0x0,0,0,slave2 parity error
,,,reserved,RO,0x0,31,1,reserved
chnl3_parity_err,0x9C,RO,slv3_parity_err,RO,0x0,0,0,slave3 parity error
,,,reserved,RO,0x0,31,1,reserved
